transaction_id,customer_id,transaction_date,amount,currency,transaction_type,channel,merchant_name,merchant_category,location_country,location_city,is_flagged
5b2a8c5f-3d44-46cc-9df1-e44aad4e5a49,a34bf4cb-bb7f-4280-b140-5b690f3cd160,2024-07-07 00:20:34,426.5,USD,deposit,mobile,Martinez Inc,Electronics,CANADA,South Joseph,False
fab45dee-e84d-43de-ba53-4405754319f0,4e18249a-799c-4842-b163-5e9302bb2fe7,2023-01-03 10:55:54,913.88,EUR,deposit,mobile,Norris LLC,travel,UK,New Jose,False
94cb59a6-89c3-4f4b-8a01-b788b1c7a632,e52acac8-8bb9-4f8e-8bfb-50ce38902815,2024-07-27 22:26:47,6161.799999999999,JPY,purchase,online,Chapman-Johnson,travel,CANADA,Carolynburgh,True
9ef9d581-4f4a-4d41-a1c3-1db9f4a16fcd,c22a178b-a914-4713-ba16-bce484b32014,2024-03-23 08:12:30,798.9,EUR,transfer,in-branch,Allen-Hall,travel,Germany,North Williambury,False
b2df1a63-3af5-4155-9c25-d73611c4d447,ff307446-b6d7-4472-a306-aa2158856f0a,2024-07-30 17:10:49,1172.0,GBP,deposit,online,Williams Ltd,utilities,Germany,Haynesbury,False
1bba3730-6b57-4894-b753-55d4ffd50c4d,f6a435f5-7595-4fe4-b6ad-8a41975fbea2,2022-12-18 14:53:11,1552.11,USD,deposit,online,Hill-Fields,travel,IND,Robertport,False
ee2c2f69-9efe-4978-8437-e82c9b5b4ca8,f4979e6d-9582-4689-96fe-c8f5d3b17414,2024-08-10 19:59:24,1046.46,USD,deposit,in-branch,Noble-Davidson,travel,Japan,South Huntermouth,False
29773aa3-3519-4465-a4e5-e8643e368941,7c06bc35-57e8-4031-9990-952d6fe7afd8,2023-12-11 18:55:17,740.35,JPY,withdrawal,in-branch,Barrett-Carroll,retail,Japan,Lake Sarahland,False
39a27d0a-e183-455a-a73f-00ab9f24d7a4,a929ab70-c5b4-4f05-89e9-6c17a0d86659,2023-03-07 03:12:20,1919.43,JPY,deposit,ATM,Clarke Inc,retail,Japan,Tamibury,False
f1cfff4e-d3fc-41e3-a0df-a1f0fa944f7a,118e60ee-d781-4a57-96f6-f82515f93848,2024-03-27 11:28:11,478.05,EUR,purchase,ATM,"Smith, Curtis and Ryan",retail,IND,South Kevinmouth,False
f6bdb4b0-e872-4701-b2db-0d922c16aa92,bcceab84-51fd-4d2e-8630-2c3605166ff9,2024-02-03 18:37:26,457.17,USD,transfer,mobile,Warren Inc,Electronics,UK,Cruzmouth,False
317959ec-9a04-419f-8915-d09f8c462ca6,ed4efa58-f38f-4359-b670-03595dce0228,2024-05-29 14:02:53,1945.05,JPY,deposit,online,Lynch-Mcdonald,retail,Germany,Matthewsmouth,False
6f2b9925-f899-4aad-a490-b0b7287ef962,3ff49c98-3bff-494c-848a-67cbbca52109,2024-02-18 00:40:37,1159.96,EUR,deposit,online,Nunez-Stewart,groceries,USA,Port Stephaniemouth,False
0500f9f2-425e-441e-a210-455f63ef265e,72fcd315-588f-4c99-953e-3d87c43b758d,2023-02-20 18:52:52,1780.61,USD,withdrawal,mobile,Riley-Castaneda,travel,CANADA,Williamsport,True
9642bb8b-794e-41c3-876c-64a3ecdf7295,8d69c7fb-8fed-4eed-b237-c51c1fb44224,2023-07-03 04:21:45,1763.07,INR,purchase,mobile,Sullivan LLC,groceries,USA,New Jordanstad,False
ccdbcbe6-2700-43df-a249-abe7900c7edc,40a057af-e4e3-4706-9632-3810dc216e93,2024-06-14 23:16:55,402.42,GBP,deposit,mobile,Cox Group,utilities,USA,Diazfurt,False
8ddcbe47-1f1d-47b3-9732-33afe9d6f2eb,d1287f36-b7f0-45a0-b0de-627182992260,2022-09-28 16:06:47,1459.0,JPY,withdrawal,online,Barker Group,retail,CANADA,North Ryanbury,False
165b8d45-de4a-4b98-8bdd-0cf92cd69922,198177cf-5463-4dce-b3e9-9757995b28a7,2024-04-28 10:08:05,1983.49,EUR,transfer,in-branch,Wood Group,retail,IND,Russellmouth,False
05d4f8de-a982-46fe-a6f7-6e3e77e2222f,773fa8a6-3988-4219-aae3-127fefce2606,2023-06-16 09:36:47,1479.92,EUR,purchase,mobile,Woods Group,travel,USA,Joebury,False
6db7cf3d-abfb-436c-85d0-b32a7a817c24,7155c990-3c12-40bc-b608-1972f753e5fa,2023-07-11 05:25:01,561.54,USD,deposit,mobile,"Ochoa, Stanley and Pena",retail,Japan,East Kimberly,False
651d4fc5-c2d9-491e-8d2d-076a6b961512,eb154474-b425-454f-93b0-1545c22da498,2023-04-24 12:01:55,426.87,INR,transfer,in-branch,Miranda PLC,travel,CANADA,North Amber,False
57791b5d-02f9-4ac1-b6f1-5f1b0a77dedd,cb6089e1-aa5d-4659-abbc-d44ce190e0a7,2022-12-11 05:46:40,1048.12,GBP,withdrawal,online,Mccullough-Rodriguez,Electronics,Japan,Julieshire,False
63891da6-cdfc-4940-855d-c6a19e7e006a,094b7ec0-d71b-48c5-b7e7-9cf3c5df6525,2022-10-31 02:03:24,1508.44,JPY,withdrawal,online,Anderson-Hutchinson,groceries,UK,Vincentport,False
c4bcdbb3-3fc9-40c5-b890-d53e924a3d25,cf5a96ff-79b5-4861-a941-bc4b0640f999,2024-06-01 05:10:45,1325.39,JPY,transfer,mobile,Bishop PLC,travel,CANADA,North Williamland,False
4d07d751-8935-459b-b983-4752cee8530e,61ea632d-ea53-4da2-a26b-f3f1fa58dcb5,2023-05-04 00:51:35,380.19,USD,purchase,mobile,Cook Inc,Electronics,IND,Whitakerstad,False
ed7f7706-4349-4728-a0f4-ba20875582ed,f0f58b92-eca5-41c8-851d-98ee434e9823,2023-12-19 22:05:30,1192.51,USD,transfer,in-branch,Floyd PLC,retail,USA,North Samuel,False
6cd06a02-612c-4ff4-862c-04c40bfb3b6a,f1ff5c8e-1714-4bc9-b7f3-46b127e214d6,2022-10-31 17:08:14,773.64,JPY,transfer,ATM,"Clark, Murray and Cruz",utilities,CANADA,Spencertown,False
480783c7-b030-4745-8dff-b9524566a29c,3bfdd7dc-6c92-455c-aa9e-0b4dc925e8a8,2023-04-28 12:18:54,1593.17,USD,transfer,in-branch,"Munoz, Garcia and Stanley",groceries,CANADA,South Christinemouth,False
8d13b8e5-93d9-4152-b77d-b598905ed4e0,0b51d677-428a-42a9-bdaa-f3138abaaee3,2024-05-05 04:31:35,1868.36,INR,transfer,online,Mathews PLC,travel,Japan,Mcbrideshire,False
